street;zip_code;city;region;country
7893 Anzinger Road;;Nagrog;;Indonesia
92358 Ridge Oak Place;423371;Sarmanovo;;Russia
3595 Kingsford Court;99460-000;Colorado;;Brazil
3522 Vera Crossing;;Kubangwaru;;Indonesia
37 Village Road;62411 CEDEX;Béthune;Nord-Pas-de-Calais;France
2892 Moulton Pass;;Heka;;China
83898 Mccormick Trail;;Babura;;Nigeria
19338 Merchant Drive;;Jatiklampok;;Indonesia
52 Springs Lane;7509;Obršani;;Macedonia
7291 Cordelia Street;;Auas;;Honduras
0 Alpine Court;;Baiyin;;China
93216 Sunnyside Point;;Marcala;;Honduras
1696 Johnson Way;33619;Bielefeld;Nordrhein-Westfalen;Germany
7 Alpine Lane;;Hisya;;Syria
0087 Brown Trail;397815;Strelitsa;;Russia
37706 Tomscot Plaza;85801;Haapajärvi;;Finland
892 Del Sol Center;;Houxi;;China
73 Graceland Alley;;Indramayu;;Indonesia
22 Surrey Junction;;Tebluru;;Indonesia
884 Judy Crossing;;Wudian;;China
78 Duke Trail;95194;San Jose;California;United States
034 South Way;652120;Izhmorskiy;;Russia
73857 Cardinal Center;13140-000;Paulínia;;Brazil
2 Northfield Junction;;Doumen;;China
78911 Springs Pass;;South Tangerang;;Indonesia
10425 Little Fleur Lane;404172;Yeysk;;Russia
25462 Pennsylvania Drive;;El Rincón;;Panama
19466 Colorado Lane;;Cankuzo;;Burundi
25869 Talmadge Hill;08-107;Paprotnia;;Poland
6612 Armistice Alley;81506 CEDEX;Lavaur;Midi-Pyrénées;France
7100 Caliangt Parkway;;Qibu;;China
34 Warner Pass;2610-006;Amadora;Lisboa;Portugal
20890 Caliangt Trail;;Sindangjati;;Indonesia
0 Darwin Way;641730;Dalmatovo;;Russia
6508 Donald Pass;826 70;Söderhamn;Gävleborg;Sweden
4 Village Alley;;Huze;;China
62 Rockefeller Street;;Valsamáta;;Greece
8 Mccormick Trail;;Qiaotou;;China
26 Union Trail;67200;Strasbourg;Alsace;France
